item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,,,,observatii
MED-0001,Ac acetici sol.5%-100 ml,32.49,1.0,32.49,MDL,OK,,,,
MED-0002,Ac chirurgical  BE 560-1,355.1,24.0,14.7958,MDL,OK,,,,
MED-0003,"Ac chirurgical  BE 560-13,14,15,17,18,19,20,21",2113.04,192.0,11.1954,MDL,OK,,,,
MED-0004,"Ac chirurgical  BE 560-2,4",710.2,48.0,14.7958,MDL,OK,,,,
MED-0005,"Ac chirurgical  BE 560-5,7",537.58,48.0,11.1996,MDL,OK,,,,
MED-0006,Ac chirurgical  BER 561-22,235.09,24.0,9.7954,MDL,OK,,,,
MED-0007,Ac chirurgical  BER 562-1,283.31,24.0,11.8046,MDL,OK,,,,
MED-0008,"Ac chirurgical  BER 562-11,12,14,16,17,18,19,20,21",2202.21,216.0,10.1954,MDL,OK,,,,
MED-0009,Ac chirurgical  BER 562-4,283.31,24.0,11.8046,MDL,OK,,,,
MED-0010,"Ac chirurgical  BER 562-5,8,9",734.07,72.0,10.1954,MDL,OK,,,,
MED-0011,Ac chirurgical  BER 562-7,244.69,24.0,10.1954,MDL,OK,,,,
MED-0012,"Ac chirurgical  BR 510 - 0,00",335.92,24.0,13.9967,MDL,OK,,,,
MED-0013,Ac chirurgical  BR 510 - 000,335.92,24.0,13.9967,MDL,OK,,,,
MED-0014,Ac chirurgical  BR 510-1,278.38,24.0,11.5992,MDL,OK,,,,
MED-0015,"Ac chirurgical  BR 510-13,14,16",367.02,36.0,10.195,MDL,OK,,,,
MED-0016,"Ac chirurgical  BR 510-4,5,6",734.07,72.0,10.1954,MDL,OK,,,,
MED-0017,"Ac chirurgical  BR 510-7,8,9",367.02,36.0,10.195,MDL,OK,,,,
MED-0018,"Ac chirurgical  E 530 - 0  ,00",528.26,48.0,11.1954,MDL,OK,,,,
MED-0019,Ac chirurgical  E 530 - 000,287.97,24.0,11.9988,MDL,OK,,,,
MED-0020,"Ac chirurgical  E 530 - 1 ,2",528.26,48.0,11.1954,MDL,OK,,,,
MED-0021,"Ac chirurgical  E 530-3,4",528.26,48.0,11.1954,MDL,OK,,,,
MED-0022,"Ac chirurgical  E 530-5,6,7,8",528.24,48.0,11.005,MDL,OK,,,,
MED-0023,"Ac chirurgical  ET 528-0,1,2,3,4",1524.1,120.0,12.7008,MDL,OK,,,,
MED-0024,Ac chirurgical  ET 528-000,379.21,24.0,15.8004,MDL,OK,,,,
MED-0025,"Ac chirurgical  ET 528-5,6,7,8",609.64,48.0,12.7008,MDL,OK,,,,
MED-0026,Ac chirurgical  G 503-16,264.13,24.0,11.1954,MDL,OK,,,,
MED-0027,"Ac chirurgical  GE 548-1,2,3",1080.09,72.0,15.0012,MDL,OK,,,,
MED-0028,"Ac chirurgical  GE 548-5,6,7,11,13,14,15,16,17,18,19,20,21,22",3697.82,336.0,11.1954,MDL,OK,,,,
MED-0029,Ac chirurgical  GE 548-9,264.13,24.0,11.1954,MDL,OK,,,,
MED-0030,"Ac chirurgical  GT 516 - 2,3,4,5,6",1919.35,120.0,15.9946,MDL,OK,,,,
MED-0031,Ac chirurgical  GT 516 - 8-9,287.98,24.0,11.9992,MDL,OK,,,,
MED-0032,"Ac chirurgical  H 522- 0,1",287.98,24.0,11.9992,MDL,OK,,,,
MED-0033,Ac chirurgical  H 522- 00,185.98,12.0,15.4983,MDL,OK,,,,
MED-0034,"Ac chirurgical  H 522- 2,3,4,5",1151.88,96.0,11.9988,MDL,OK,,,,
MED-0035,Ac chirurgical  HR 422- 0,264.13,24.0,11.1954,MDL,OK,,,,
MED-0036,Ac chirurgical  HR 422- 00,287.97,24.0,11.9988,MDL,OK,,,,
MED-0037,"Ac chirurgical  HR 422-1,2,3,4,5",1320.65,120.0,11.1954,MDL,OK,,,,
MED-0038,"Ac chirurgical GER 566-18,19,20,21,22",635.7,60.0,10.595,MDL,OK,,,,
MED-0039,"Ac chirurgical GER 566-2,3,4",424.95,36.0,11.8042,MDL,OK,,,,
MED-0040,"Ac chirurgical GER 566-5,6,7,8,9,12,13,14,16",2288.52,216.0,10.595,MDL,OK,,,,
MED-0041,"Ac chirurgical GT 516-0,00,000",1325.04,72.0,18.4033,MDL,OK,,,,
MED-0042,"Ac chirurgical GT 516-14,15,16",1151.88,96.0,11.9988,MDL,OK,,,,
MED-0043,Acarilbial sol.cutan.277mg/ml 200ml N1,724.82,7.0,103.5457,MDL,OK,,,,
MED-0044,Aceclofenac 100mg comp.N30,105.0,150.0,0.7,MDL,OK,,,,
MED-0045,Acesol sol.perf400ml N1,4039.2,200.0,20.196,MDL,OK,,,,
MED-0046,Aciclovir caps.200mg N30,37.8,1050.0,0.036,MDL,OK,,,,
MED-0047,"Acid acetilsalicilic comp. 0,5 g N10",58.34,300.0,0.1945,MDL,OK,,,,
MED-0048,Acid aminocapronic sol. perf. 5% 100 ml N1,1142.5,49.0,23.3163,MDL,OK,,,,
MED-0049,Acid ascorbic 500mg/5ml N5,3308.8,2350.0,1.408,MDL,OK,,,,
MED-0050,Acid ascorbic draj.50mgN50,26.76,200.0,0.1338,MDL,OK,,,,
MED-0051,Acid folic comp.1mg N60,42.06,380.0,0.1107,MDL,OK,,,,
MED-0052,Acid folic comp.5mg N50,51.66,150.0,0.3444,MDL,OK,,,,
MED-0053,Acid folic comp.5mg N60,76.8,240.0,0.32,MDL,OK,,,,
MED-0054,Acid nicotinic sol. inj. 1% 1 ml N10,2275.42,1840.0,1.2366,MDL,OK,,,,
MED-0055,Actilyse liof.solv.sol.perf.50mg+50ml,180254.65,26.0,6932.8712,MDL,OK,,,,
MED-0056,Actrapid sol.inj. 100 UI/10ml N1,20346.01,99.0,205.5153,MDL,OK,,,,
MED-0057,Ademetionina pulb./solv.pt sol.inj. 500mg N5,29659.69,735.0,40.3533,MDL,OK,,,,
MED-0058,Ademta comp.400mg N20,1287.49,80.0,16.0936,MDL,OK,,,,
MED-0059,Adrenalin sol. inj. 1mg/ml N10,200.72,70.0,2.8674,MDL,OK,,,,
MED-0060,Albendazol - BP comp 400mg N10,573.4,100.0,5.734,MDL,OK,,,,
MED-0061,Alcool etilic 70% sol. alc. 70% 1000 ml N1 *,3982.4,116000.0,0.0343,MDL,OK,,,,
MED-0062,Alcool etilic 96% 100ml N1,288.15,29.0,9.9362,MDL,OK,,,,
MED-0063,Alcool etilic 96% sol. alc. 1000 ml N1,1878.14,37000.0,0.0508,MDL,OK,,,,
MED-0064,Alcool etilic70% 100ml N1,128.74,20.0,6.437,MDL,OK,,,,
MED-0065,Aleze 90x90 cm,22.57,10.0,2.257,MDL,OK,,,,
MED-0066,Aleze de unica folosinta 60x90 cm N30,1299.6,570.0,2.28,MDL,OK,,,,
MED-0067,Aleze de unica folosinta 90x90 cm N30,136.8,60.0,2.28,MDL,OK,,,,
MED-0068,Algin baby susp.orala 100mg/5ml N1,1136.11,41.0,27.71,MDL,OK,,,,
MED-0069,Algodex comp.25mg N20,424.2,500.0,0.8484,MDL,OK,,,,
MED-0070,Algodex sol. inj. 25mg 2 ml N10,8231.9,3130.0,2.63,MDL,OK,,,,
MED-0071,AlgoSpazmin sol.inj.500mg+2+0.2mg/ml 5ml N10,10234.64,2600.0,3.9364,MDL,OK,,,,
MED-0072,Allohol comp.N50,480.6,1250.0,0.3845,MDL,OK,,,,
MED-0073,Alprazolam 0.5 mg comp N30,839.05,1830.0,0.4585,MDL,OK,,,,
MED-0074,Alprazolam LPH 0.25mgcomp.N30,9.72,30.0,0.324,MDL,OK,,,,
MED-0075,Alventa caps.75mg N10x3,96.15,90.0,1.0683,MDL,OK,,,,
MED-0076,Ambrex 30mg/5ml 150ml N1,26.94,1.0,26.94,MDL,OK,,,,
